pred,actual,seqs,loss
0.48678499460220337,0,166515,0.6670604348182678
0.4824482202529907,0,168329,0.6586456894874573
0.4842921793460846,0,240538,0.6622149348258972
0.48905208706855774,0,77877,0.6714876294136047
0.48504090309143066,1,169650,0.7235220670700073
0.485937237739563,0,141953,0.6654099225997925
0.5247676372528076,1,17780,0.6447997093200684
0.4839523732662201,0,111859,0.6615562438964844
0.4971632659435272,0,71134,0.6874897480010986
0.49971169233322144,1,90600,0.6937239766120911
0.486844539642334,0,109544,0.6671764254570007
0.4876802861690521,1,99389,0.7180952429771423
0.4972670078277588,0,113668,0.687696099281311
0.4920729696750641,1,158666,0.7091282606124878
0.4948995113372803,0,106275,0.6829978823661804
0.4873237609863281,0,91332,0.668110728263855
0.5512540340423584,1,7480,0.5955595374107361
0.5395235419273376,1,19978,0.617068886756897
0.5011826157569885,0,132154,0.6955152153968811
0.5036886930465698,0,144199,0.7005519270896912
0.5037418603897095,1,29270,0.6856912970542908
0.49663662910461426,0,80171,0.6864429712295532
0.4868396818637848,0,204472,0.6671669483184814
0.498566210269928,1,51091,0.6960188746452332
0.5120720267295837,0,37149,0.7175874710083008
0.5062646865844727,0,79946,0.7057557106018066
0.4815024137496948,0,220021,0.6568199396133423
0.5449482202529907,1,12489,0.6070644855499268
0.5702511072158813,1,1147,0.5616784691810608
0.5049850344657898,1,41038,0.683226466178894
0.48072153329849243,0,216753,0.6553149819374084
0.5096109509468079,0,87367,0.7125562429428101
0.4986637830734253,0,80920,0.6904783248901367
0.5636232495307922,1,15245,0.5733692646026611
0.4972090721130371,0,145881,0.6875808238983154
0.48083680868148804,0,248271,0.6555370092391968
0.5069762468338013,0,72024,0.707197904586792
0.5112979412078857,1,23459,0.6708028316497803
0.48073920607566833,0,277917,0.6553490161895752
0.48325198888778687,0,152433,0.6601999402046204
0.5015896558761597,0,70398,0.6963315606117249
0.4860718250274658,0,195398,0.6656717658042908
0.5411282777786255,1,1519,0.6140989065170288
0.4873308837413788,0,146036,0.6681246161460876
0.4993126392364502,0,110696,0.6917734146118164
0.5006319880485535,0,74702,0.6944119334220886
0.4935210347175598,0,146312,0.6802724599838257
0.486083984375,0,93980,0.6656954288482666
0.485413521528244,0,219289,0.6643916368484497
0.48702317476272583,0,127930,0.6675246357917786
0.48389720916748047,0,256067,0.6614493131637573
0.5016965866088867,1,45251,0.6897597312927246
0.4941035807132721,1,68651,0.7050101161003113
0.4841485619544983,0,190795,0.6619364619255066
0.48419204354286194,0,107960,0.662020742893219
0.5451842546463013,1,2917,0.6066314578056335
0.47977232933044434,1,102108,0.7344436049461365
0.4916447401046753,1,67125,0.7099989056587219
0.4842599332332611,0,90302,0.6621524095535278
0.4818444848060608,0,257248,0.6574798822402954
0.4915522336959839,0,114695,0.6763927936553955
0.48123612999916077,0,64456,0.6563064455986023
0.4991263449192047,1,25399,0.6948960423469543
0.4799136221408844,0,251066,0.6537603735923767
0.48840510845184326,0,82902,0.6702222228050232
0.49533146619796753,0,83968,0.6838534474372864
0.48584750294685364,1,238997,0.7218604683876038
0.48106756806373596,0,142327,0.6559816002845764
0.4819246530532837,0,144068,0.6576346158981323
0.48402923345565796,0,91221,0.6617051959037781
0.48267045617103577,0,139303,0.6590752005577087
0.4838204085826874,0,99547,0.661300539970398
0.5024957060813904,1,19695,0.6881681680679321
0.48004159331321716,1,133752,0.7338825464248657
0.4879922866821289,1,96926,0.7174556851387024
0.48010683059692383,1,88862,0.7337466478347778
0.5237322449684143,1,1741,0.6467747092247009
0.48797905445098877,0,87892,0.6693897247314453
0.48031365871429443,0,145434,0.6545298099517822
0.5266014337539673,1,18253,0.6413112878799438
0.5234172940254211,0,71463,0.7411140203475952
0.4953707456588745,0,100581,0.683931291103363
0.4798758625984192,0,156584,0.6536877751350403
0.4892592430114746,0,101001,0.6718931198120117
0.5288693904876709,1,7445,0.6370137929916382
0.518767237663269,1,22187,0.6563000082969666
0.4783106744289398,0,162601,0.6506830453872681
0.489838182926178,1,20990,0.7136802077293396
0.4935000240802765,1,23766,0.7062323689460754
0.5376477241516113,1,7177,0.6205517053604126
0.4826546907424927,0,127696,0.6590447425842285
0.48224857449531555,1,48049,0.7292956113815308
0.4804009795188904,1,46796,0.7331341505050659
0.5093290209770203,1,15029,0.6746610403060913
0.49776768684387207,0,92854,0.6886925101280212
0.5265852808952332,1,5658,0.6413419842720032
0.47708067297935486,0,61602,0.6483280658721924
0.5195144414901733,1,46182,0.6548606753349304
0.48346585035324097,0,111233,0.6606138944625854
0.4892021715641022,0,156529,0.6717814207077026
0.496705561876297,1,73562,0.6997578740119934
0.4880285859107971,0,181554,0.6694864630699158
0.5291528701782227,1,1550,0.6364778876304626
0.485844224691391,0,134340,0.6652290225028992
0.48054981231689453,0,177046,0.6549843549728394
0.4874686300754547,1,78545,0.7185293436050415
0.48463743925094604,1,162850,0.7243542075157166
0.5170435905456543,1,24746,0.6596280932426453
0.5228255987167358,1,13745,0.6485073566436768
0.5182729363441467,1,17700,0.6572532653808594
0.505657970905304,0,80133,0.7045276165008545
0.4826332628726959,0,137701,0.6590033173561096
0.544808030128479,1,8244,0.6073217988014221
0.5023012757301331,1,13528,0.6885551810264587
0.4931979179382324,1,7370,0.7068447470664978
0.4856857657432556,0,96990,0.6649208664894104
