pred,actual,seqs,loss
0.49742576479911804,0,66663,0.6880119442939758
0.5005422830581665,1,46182,0.6920632123947144
0.49851953983306885,0,132154,0.6901906132698059
0.4980148673057556,0,123268,0.6891847848892212
0.49954754114151,1,45251,0.694052517414093
0.5011259913444519,1,29722,0.6908977031707764
0.4991646111011505,0,77877,0.6914777755737305
0.5010151267051697,1,42684,0.6911190152168274
0.5046283602714539,1,8244,0.6839330196380615
0.4983401894569397,0,158091,0.6898330450057983
0.4991420805454254,0,146036,0.6914328336715698
0.5045278072357178,1,7370,0.6841323375701904
0.4995156526565552,0,80920,0.6921789646148682
0.5061365962028503,1,7480,0.6809486746788025
0.4998481869697571,0,110696,0.6928436160087585
0.49788278341293335,0,238661,0.6889216899871826
0.5004359483718872,1,48049,0.6922756433486938
0.4992465376853943,0,152433,0.6916413903236389
0.4979633092880249,0,248271,0.6890820860862732
0.4998040497303009,0,82902,0.6927553415298462
0.5010133385658264,0,93980,0.6951759457588196
0.49985769391059875,0,219289,0.6928626298904419
0.49851134419441223,0,137701,0.6901742815971375
0.4990878105163574,0,135911,0.6913244724273682
0.5000916719436646,0,90302,0.6933305263519287
0.5003621578216553,1,114418,0.6924231052398682
0.49914079904556274,0,240538,0.6914302706718445
0.5050906538963318,1,7445,0.683017373085022
0.4985535442829132,0,162601,0.6902584433555603
0.5043209791183472,1,20990,0.6845423579216003
0.500360369682312,0,107455,0.6938681602478027
0.5007967948913574,0,91221,0.6947420239448547
0.4987451434135437,0,145434,0.6906406283378601
0.4994939863681793,0,80133,0.6921356916427612
0.5051422715187073,1,17780,0.6829151511192322
0.5008770823478699,0,70398,0.6949028968811035
0.499448299407959,0,181554,0.6920443773269653
0.4998387098312378,0,126860,0.69282466173172
0.5032992362976074,1,39064,0.686570405960083
0.5032677054405212,1,46796,0.6866330504417419
0.49823594093322754,0,195398,0.6896252632141113
0.49764153361320496,0,142327,0.6884413361549377
0.4989635944366455,0,71463,0.6910765171051025
0.4983951151371002,0,146312,0.6899425387382507
0.49915552139282227,0,80171,0.6914596557617188
0.4990157186985016,0,145881,0.6911805272102356
0.5005147457122803,0,79946,0.6941772103309631
0.4981635510921478,0,251066,0.6894810199737549
0.5054459571838379,1,13745,0.6823141574859619
0.49971500039100647,1,162850,0.693717360496521
0.49971258640289307,0,83968,0.6925725340843201
0.5058104395866394,1,12369,0.6815932989120483
0.5013799071311951,1,19978,0.6903911828994751
0.5024186968803406,1,17700,0.6883214712142944
0.49941393733024597,0,109544,0.6919757723808289
0.4980400502681732,0,127278,0.6892349720001221
0.49947869777679443,0,177046,0.6921051144599915
0.49863603711128235,0,111233,0.6904229521751404
0.5093685388565063,1,1519,0.6745834946632385
0.497505247592926,0,220021,0.6881700754165649
0.497073233127594,0,96990,0.6873106956481934
0.5031456351280212,1,19695,0.6868756413459778
0.49925878643989563,0,71134,0.6916658282279968
0.5010372400283813,1,68651,0.6910748481750488
0.49910396337509155,0,72024,0.6913567185401917
0.49794721603393555,0,100581,0.689050018787384
0.5021834969520569,1,23459,0.6887897253036499
0.49867433309555054,1,41038,0.6958020329475403
0.4992022216320038,1,75794,0.6947439908981323
0.5007975101470947,1,29270,0.6915534138679504
0.5012364983558655,1,22187,0.6906772255897522
0.49621641635894775,0,257248,0.6856085062026978
0.4974524974822998,0,144199,0.6880651116371155
0.5040163397789001,1,15029,0.6851465702056885
0.4974064826965332,0,127696,0.6879735589027405
0.4980410635471344,0,101001,0.6892369389533997
0.49996131658554077,0,37149,0.6930698156356812
0.49666139483451843,0,256067,0.6864921450614929
0.5014078617095947,1,42867,0.6903353929519653
0.49909302592277527,1,99389,0.6949627995491028
0.49640363454818726,0,147543,0.6859802007675171
0.5035994052886963,1,27231,0.6859741806983948
0.5002577304840088,1,73562,0.6926318407058716
0.4978399872779846,1,177069,0.6974765658378601
0.4985226094722748,0,98249,0.6901967525482178
0.5023488402366638,1,23766,0.6884605288505554
0.5062847137451172,1,5658,0.6806560754776001
0.4996483325958252,0,91332,0.6924440860748291
0.5003020763397217,1,90600,0.6925432085990906
0.49788206815719604,0,168329,0.688920259475708
0.5008205771446228,1,47220,0.6915073990821838
0.5026472210884094,0,64456,0.6984556913375854
0.5002027153968811,0,106275,0.6935526728630066
0.506668210029602,1,7177,0.6798989176750183
0.4997648000717163,1,51091,0.6936177015304565
0.4982355237007141,0,167489,0.6896244287490845
0.4993703067302704,0,141953,0.6918885707855225
0.5038546919822693,1,24746,0.6854673624038696
0.49994564056396484,0,156529,0.6930384635925293
0.49810558557510376,0,127930,0.6893655061721802
0.5029358863830566,1,14303,0.6872925758361816
0.5065740942955017,1,2917,0.6800847053527832
0.499306321144104,0,134469,0.691760778427124
0.49852901697158813,0,134340,0.6902095079421997
0.5011770129203796,1,158666,0.6907958984375
0.5057474970817566,1,13528,0.6817177534103394
0.5016332864761353,1,88862,0.6898859143257141
0.4986456334590912,0,222609,0.6904420852661133
0.4989434778690338,0,156584,0.6910363435745239
0.5014535188674927,1,169650,0.6902443766593933
0.5050286650657654,1,12489,0.6831400990486145
