pred,actual,seqs,loss
0.2095404863357544,0,111859,0.2351408451795578
0.9303698539733887,1,1519,0.07217308133840561
0.11194738745689392,0,181554,0.1187242940068245
0.026379652321338654,0,222609,0.02673383802175522
0.9411836266517639,1,51091,0.06061701849102974
0.9666709303855896,1,12489,0.03389713913202286
0.056774310767650604,0,80133,0.05844969302415848
0.6109134554862976,1,23459,0.4927999675273895
0.8747334480285645,1,133752,0.1338360756635666
0.05805733799934387,0,238661,0.05981087312102318
0.2642548382282257,0,190795,0.3068714737892151
0.7915094494819641,1,162850,0.23381346464157104
0.26649487018585205,0,107455,0.30992069840431213
0.9990851879119873,1,7177,0.0009152307757176459
0.24325652420520782,0,147543,0.27873095870018005
0.07317309826612473,0,66663,0.07598846405744553
0.9982549548149109,1,68651,0.0017465695273131132
0.1923000067472458,0,167489,0.21356458961963654
0.024640314280986786,0,219289,0.0249489676207304
0.09270903468132019,0,91332,0.09729208052158356
0.09589783102273941,0,177046,0.10081290453672409
0.09290537238121033,0,134340,0.097508504986763
0.8015416860580444,0,61602,1.6171761751174927
0.07216580957174301,0,114695,0.0749022364616394
0.08876531571149826,0,87367,0.09295480698347092
0.9722189903259277,1,7370,0.028174201026558876
0.8086672425270081,0,64456,1.6537411212921143
0.9801797866821289,1,1147,0.02001926861703396
0.3817836344242096,0,158091,0.4809167981147766
0.9868021607398987,1,67125,0.013285704888403416
0.17088063061237335,0,107960,0.18739114701747894
0.05604444444179535,0,152433,0.05767619609832764
0.06317134946584702,0,156529,0.06525488197803497
0.03678058087825775,0,134469,0.03747404366731644
0.961044192314148,1,78545,0.03973488509654999
0.02949911542236805,0,142327,0.029942965134978294
0.34736356139183044,0,135911,0.4267350733280182
0.13405507802963257,0,156584,0.143933966755867
0.854043185710907,1,24746,0.15777352452278137
0.995790958404541,1,7480,0.004217924550175667
0.2783295512199402,0,144199,0.3261866867542267
0.04800722375512123,0,145434,0.049197833985090256
0.5981842279434204,0,109544,0.9117615818977356
0.0724007859826088,0,216753,0.07515551894903183
0.04800741747021675,0,277917,0.04919803515076637
0.24230623245239258,0,79946,0.2774759829044342
0.04008615016937256,0,111233,0.04091173782944679
0.11198944598436356,0,70398,0.11877164989709854
0.3803044855594635,1,177069,0.9667830467224121
0.384361207485199,1,20990,0.956172525882721
0.11010974645614624,0,71463,0.11665713787078857
0.9862741827964783,1,27231,0.013820887543261051
0.9975706934928894,1,1550,0.002432262059301138
0.9990164041519165,1,17780,0.0009840799029916525
0.06694196164608002,0,126860,0.06928787380456924
0.02635478414595127,0,137701,0.026708295568823814
0.22275236248970032,0,83968,0.2519962787628174
0.17606297135353088,0,251066,0.193661168217659
0.9929393529891968,1,47220,0.0070856912061572075
0.11561132967472076,0,195398,0.12285864353179932
0.03537960350513458,0,87892,0.03602062538266182
0.3350667655467987,1,238997,1.0934255123138428
0.21935123205184937,0,92854,0.24762995541095734
0.7517336010932922,1,41038,0.2853732705116272
0.19917599856853485,0,110696,0.22211408615112305
0.47655683755874634,0,240538,0.6473268270492554
0.833663821220398,1,25399,0.18192504346370697
0.7500566244125366,1,114418,0.2876065671443939
0.9776057600975037,1,42684,0.022648798301815987
0.9986740350723267,1,7445,0.0013268447946757078
0.996976375579834,1,29722,0.003028204897418618
0.38795891404151917,0,113668,0.4909558892250061
0.41096630692481995,0,145881,0.5292719006538391
0.8999614119529724,1,46796,0.10540339350700378
0.027852831408381462,0,141953,0.028248077258467674
0.04228082671761513,0,144068,0.04320068284869194
0.3841179609298706,0,90302,0.4846998453140259
0.02383381873369217,0,127696,0.024122439324855804
0.8865667581558228,1,102108,0.12039884924888611
0.7068393230438232,1,96926,0.3469519019126892
0.05702482908964157,0,166515,0.0587153285741806
0.35851407051086426,1,73562,1.025787353515625
0.9995402097702026,1,18253,0.0004598959640134126
0.9978390336036682,1,13745,0.002163304714486003
0.11863226443529129,0,204472,0.12628033757209778
0.9604955315589905,1,1741,0.04030594974756241
0.35471007227897644,1,45251,1.0364545583724976
0.04654380679130554,0,99547,0.04766179993748665
0.8949451446533203,1,42867,0.11099284887313843
0.039743781089782715,0,123268,0.040555134415626526
0.9966711401939392,1,14303,0.003334412816911936
0.02714707888662815,0,72024,0.027522368356585503
0.09582335501909256,0,256067,0.1007305309176445
0.7002782821655273,1,12369,0.3562774956226349
0.9292548298835754,1,2917,0.07337227463722229
0.2593937814235687,0,106275,0.300286203622818
0.03923628479242325,0,74702,0.040026772767305374
0.99318528175354,1,46182,0.0068380446173250675
0.33905571699142456,0,98249,0.4140857458114624
0.15069831907749176,0,162601,0.16334082186222076
0.4540354907512665,1,75794,0.7895799279212952
0.1721888780593872,1,158666,1.7591632604599
0.04309309273958206,0,146036,0.04404916986823082
0.14240717887878418,0,139303,0.15362586081027985
0.9533167481422424,1,8244,0.04780806228518486
0.9774618744850159,1,15245,0.022795990109443665
0.7065426111221313,1,39064,0.34737175703048706
0.2251967340707779,0,93980,0.2551461458206177
0.021054917946457863,0,127278,0.02127973362803459
0.9242913722991943,1,19695,0.07872791588306427
0.9200483560562134,1,90600,0.08332905173301697
