pred,actual,seqs,loss
0.4949704110622406,0,238661,0.6831382513046265
0.5058222413063049,1,29722,0.6815699934959412
0.49812906980514526,0,162601,0.6894122958183289
0.5007346868515015,0,90302,0.6946176290512085
0.5103005766868591,1,12489,0.6727553606033325
0.5010613203048706,1,102108,0.6910268068313599
0.4969790577888489,0,277917,0.6871234774589539
0.5041242837905884,1,46796,0.6849324703216553
0.5116862654685974,1,12369,0.6700435876846313
0.5009297132492065,0,146036,0.6950083374977112
0.5000065565109253,0,145434,0.6931602954864502
0.5108755230903625,1,8244,0.6716293096542358
0.5053004622459412,0,93980,0.7038046717643738
0.5042495131492615,1,73562,0.6846840977668762
0.5007004141807556,0,147543,0.6945489645004272
0.5025851130485535,0,144068,0.698330819606781
0.5025562644004822,1,158666,0.6880477070808411
0.5031294822692871,0,156529,0.6994258165359497
0.5045323967933655,0,87892,0.7022532820701599
0.5028393268585205,0,167489,0.6988420486450195
0.502232015132904,0,166515,0.69762122631073
0.5083784461021423,0,61602,0.7100460529327393
0.5052731037139893,0,83968,0.703749418258667
0.502402663230896,0,181554,0.697964072227478
0.5001647472381592,0,219289,0.6934767365455627
0.5053613185882568,1,90600,0.6824816465377808
0.5070414543151855,0,109544,0.7073301672935486
0.5146881937980652,1,7177,0.6641939878463745
0.5056301951408386,0,152433,0.7044714689254761
0.519926905632019,1,7370,0.6540670394897461
0.506169319152832,0,135911,0.7055625915527344
0.5030550956726074,0,134469,0.6992760896682739
0.5046213865280151,0,107960,0.7024329304695129
0.5023669004440308,0,177046,0.6978922486305237
0.5032843947410583,1,114418,0.686599850654602
0.5065649747848511,0,64456,0.706364095211029
0.5002081394195557,0,195398,0.6935635209083557
0.5050067901611328,0,70398,0.70321124792099
0.5222973227500916,1,1741,0.6495182514190674
0.5136728286743164,1,17780,0.666168749332428
0.5019160509109497,0,110696,0.6969866752624512
0.5003914833068848,0,204472,0.693930447101593
0.5143308043479919,0,71463,0.7222275733947754
0.5058736801147461,0,79946,0.7049641013145447
0.5005403757095337,0,142327,0.6942285299301147
0.5004375576972961,0,190795,0.6940226554870605
0.49992507696151733,0,144199,0.6929973363876343
0.5043225288391113,0,66663,0.7018298506736755
0.49793851375579834,1,177069,0.6972786784172058
0.5034760236740112,1,15245,0.6862192153930664
0.4996528625488281,0,123268,0.692453145980835
0.5031159520149231,1,45251,0.6869345903396606
0.5016898512840271,1,42867,0.6897732019424438
0.5045923590660095,1,25399,0.6840043663978577
0.49938350915908813,0,145881,0.691914975643158
0.499235600233078,0,114695,0.6916195750236511
0.4955597221851349,0,216753,0.6843058466911316
0.49592527747154236,0,127278,0.6850307583808899
0.5019870400428772,1,42684,0.6891809701919556
0.49500778317451477,0,156584,0.6832122802734375
0.497407466173172,0,106275,0.6879755258560181
0.4953896999359131,1,68651,0.7024105787277222
0.499674528837204,0,87367,0.6924964785575867
0.5032199621200562,1,23459,0.6867278814315796
0.4965367019176483,0,72024,0.6862444877624512
0.4937797486782074,0,126860,0.6807834506034851
0.5175118446350098,1,1147,0.6587228775024414
0.4945315420627594,1,67125,0.7041443586349487
0.501227080821991,1,24746,0.6906960010528564
0.5032725930213928,1,18253,0.6866233348846436
0.49982619285583496,1,27231,0.6934948563575745
0.491349458694458,0,222609,0.6759940385818481
0.4966830909252167,0,92854,0.6865352988243103
0.518968403339386,1,1519,0.6559122800827026
0.49560731649398804,0,91332,0.684400200843811
0.49402526021003723,0,139303,0.6812685132026672
0.49354496598243713,0,113668,0.6803197264671326
0.4903152883052826,0,240538,0.6739629507064819
0.49157804250717163,1,162850,0.7101345658302307
0.506278932094574,1,13745,0.680667519569397
0.49459517002105713,0,158091,0.6823955178260803
0.49541065096855164,1,78545,0.7023682594299316
0.5070229172706604,1,7445,0.6791990995407104
0.5171058773994446,1,1550,0.6595076322555542
0.4962739646434784,0,98249,0.6857227683067322
0.4956708252429962,1,133752,0.70184326171875
0.4999393820762634,1,20990,0.6932684183120728
0.4946884512901306,0,111859,0.6825801134109497
0.49942415952682495,1,39064,0.6942995190620422
0.495118111371994,0,107455,0.6834307909011841
0.49610161781311035,1,75794,0.7009745240211487
0.49368131160736084,0,137701,0.680588960647583
0.49357515573501587,0,251066,0.680379331111908
0.5001659393310547,1,51091,0.692815363407135
0.5004019141197205,1,47220,0.6923436522483826
0.4974675476551056,0,111233,0.6880950331687927
0.4975619614124298,0,99547,0.6882829666137695
0.493661493062973,1,238997,0.7059052586555481
0.4990631639957428,0,80133,0.6912752389907837
0.4958553910255432,0,134340,0.6848921179771423
0.5115382671356201,1,7480,0.6703329086303711
0.5206525325775146,1,2917,0.6526724100112915
0.4982519745826721,0,127696,0.6896572113037109
0.4953406751155853,0,256067,0.6838716864585876
0.5016431212425232,1,46182,0.689866304397583
0.5014294981956482,1,41038,0.690292239189148
0.505581259727478,1,19695,0.6820465326309204
0.49550309777259827,0,141953,0.6841936111450195
0.4998774826526642,0,74702,0.6929022073745728
0.49978259205818176,1,96926,0.6935821175575256
0.5083119869232178,1,14303,0.676659882068634
