pred,actual,seqs,loss
0.4990670382976532,0,220021,0.6912829875946045
0.49654850363731384,1,158666,0.7000741362571716
0.49934425950050354,0,110696,0.6918365359306335
0.49790939688682556,0,100581,0.6889746785163879
0.5035043358802795,1,24746,0.6861629486083984
0.5062495470046997,1,7177,0.6807255744934082
0.5007948875427246,0,80171,0.6947382092475891
0.5001523494720459,1,169650,0.6928425431251526
0.5021776556968689,1,75794,0.6888013482093811
0.5017158389091492,0,77877,0.6965847611427307
0.49660781025886536,0,222609,0.6863856911659241
0.4998864233493805,1,13745,0.6933743357658386
0.49832838773727417,0,238661,0.6898095607757568
0.5021994709968567,1,47220,0.6887578964233398
0.4974088966846466,0,107455,0.6879783272743225
0.4978799521923065,0,257248,0.688916027545929
0.5013578534126282,1,20990,0.6904351711273193
0.4965405762195587,0,162601,0.6862521767616272
0.4991918206214905,0,127696,0.6915321350097656
0.4965476095676422,0,219289,0.6862661242485046
0.4988700747489929,0,156584,0.6908898949623108
0.5019040107727051,0,90302,0.6969624757766724
0.49833324551582336,0,101001,0.6898192167282104
0.49888893961906433,0,141953,0.6909275054931641
0.4973202049732208,0,251066,0.6878018975257874
0.5064413547515869,1,5658,0.6803467273712158
0.5016748905181885,0,71134,0.6965025663375854
0.5007466673851013,1,90600,0.6916549801826477
0.5018970370292664,0,64456,0.6969484686851501
0.5023998618125916,1,17700,0.6883589625358582
0.4979870617389679,0,152433,0.6891294121742249
0.499862402677536,0,98249,0.6928720474243164
0.49974876642227173,0,123268,0.6926448345184326
0.4989870488643646,0,181554,0.6911233067512512
0.4980541169643402,1,114418,0.6970465183258057
0.499750554561615,0,80920,0.6926484107971191
0.5044476985931396,0,37149,0.7020823955535889
0.49779585003852844,0,142327,0.6887485980987549
0.5028218030929565,1,23766,0.6875194311141968
0.4996741712093353,1,19695,0.6937990784645081
0.49814215302467346,0,195398,0.6894383430480957
0.5007861852645874,0,134340,0.6947208046913147
0.49966514110565186,0,132154,0.6924777030944824
0.49868857860565186,0,72024,0.6905277967453003
0.4958457946777344,0,256067,0.684873104095459
0.4978848993778229,0,167489,0.6889259219169617
0.49876365065574646,0,127278,0.6906775236129761
0.4971145987510681,0,240538,0.6873929500579834
0.4998342990875244,1,23459,0.6934786438941956
0.5036472082138062,1,39064,0.6858792304992676
0.5009410381317139,0,82902,0.6950310468673706
0.5009810328483582,1,162850,0.6911870241165161
0.5007460713386536,1,7370,0.6916561722755432
0.5022291541099548,1,22187,0.6886987686157227
0.49578121304512024,0,127930,0.6847450137138367
0.4991756081581116,0,111233,0.6914997696876526
0.4960477650165558,0,137701,0.6852737665176392
0.4991248548030853,0,177046,0.6913984417915344
0.5002766847610474,1,45251,0.6925939917564392
0.4978257715702057,0,134469,0.6888081431388855
0.49505916237831116,0,96990,0.6833140254020691
0.5030754208564758,1,42867,0.687015175819397
0.49671050906181335,0,156529,0.6865897178649902
0.5015923976898193,1,46182,0.6899674534797668
0.4966505169868469,0,91221,0.6864705681800842
0.4989042580127716,0,71463,0.6909580826759338
0.5022180080413818,1,2917,0.6887210011482239
0.5024820566177368,1,12369,0.6881953477859497
0.4983424246311188,1,68651,0.6964678168296814
0.4998907148838043,1,27231,0.693365752696991
0.4994410574436188,1,29270,0.6942656636238098
0.4947812259197235,0,147543,0.6827637553215027
0.496762752532959,0,126860,0.686693549156189
0.49787911772727966,1,88862,0.6973979473114014
0.5003575682640076,0,80133,0.6938625574111938
0.49546870589256287,0,146036,0.6841254234313965
0.5001500844955444,0,109544,0.6934474110603333
0.4982590675354004,0,83968,0.6896713376045227
0.5030416250228882,1,7445,0.6870823502540588
0.5010805130004883,1,15029,0.6909884810447693
0.49653056263923645,0,248271,0.6862322688102722
0.49713751673698425,1,51091,0.6988885998725891
0.4984508156776428,1,99389,0.6962503790855408
0.4999026954174042,1,12489,0.6933417916297913
0.5003505349159241,0,79946,0.6938484907150269
0.5009593367576599,1,42684,0.6912303566932678
0.5002607107162476,1,48049,0.692625880241394
0.501091718673706,0,106275,0.6953330039978027
0.4991709589958191,1,8244,0.6948066353797913
0.49589115381240845,0,135911,0.684963047504425
0.4998078942298889,1,13528,0.6935314536094666
0.4975060224533081,0,66663,0.6881716251373291
0.49669286608695984,0,158091,0.6865546703338623
0.5077218413352966,1,1519,0.6778215169906616
0.5002558827400208,1,29722,0.6926355361938477
0.4987533390522003,0,93980,0.6906569600105286
0.4963958263397217,0,145434,0.6859647035598755
0.5028640031814575,1,14303,0.687435507774353
0.4986417293548584,0,145881,0.6904343366622925
0.5016583800315857,0,91332,0.6964694261550903
0.49922919273376465,1,41038,0.6946899890899658
0.5022493004798889,1,17780,0.6886586546897888
0.4986523985862732,0,168329,0.6904556155204773
0.49561184644699097,0,146312,0.6844091415405273
0.5040081143379211,1,7480,0.6851629018783569
0.49694350361824036,1,177069,0.6992789506912231
0.49771907925605774,1,73562,0.6977194547653198
0.49820995330810547,0,70398,0.6895734667778015
0.49762672185897827,0,144199,0.6884118318557739
0.502299427986145,1,46796,0.6885588765144348
0.5006800293922424,1,19978,0.6917880177497864
